paper,section,experiment,status,project_audit
GWO,4,Results and discussion / benchmark coverage,COMPLETE_PAPER_STRUCTURE_COVERAGE,"Classic landscapes, SIS2005 composites, and Section 4 behavior figures are covered at declared paper-style/source-faithful/controlled-equivalent tiers; not an exact reproduction of every comparison number."
GWO,4.1,Exploitation analysis,CORE_DONE,GWO F1-F7 30-run statistics and paper-style landscapes reproduced; historical PSO/GSA/DE/FEP/CMA-ES comparison algorithms were not all independently rerun.
GWO,4.2,Exploration analysis,CORE_DONE,GWO F8-F23 statistics and paper-style landscapes reproduced; historical comparison algorithms were not all independently rerun.
GWO,4.3,Local minima avoidance on SIS2005 composite F24-F29,COMPLETE_SOURCE_FAITHFUL_ATTEMPT__PARTIAL_NUMERICAL_AGREEMENT,All six CF1-CF6 functions recovered/ported and run for 30 trials with frozen GWO. F28 strongest match; F24/F26/F27/F29 materially different. F26 preserves paper-table/source-code discrepancy.
GWO,4.4,Convergence behavior analysis,COMPLETE_CONTROLLED_EQUIVALENT,"Paper-structure elements reproduced for specified functions with six agents and 100 iterations; exact original shift vectors, seed, and history semantics unavailable, so explicit project conventions are used."
GWO,5,Three classical engineering problems,PARTIAL__COMMON_PROTOCOL_REPRODUCTION,"Spring, welded beam, and pressure vessel are included in the Stage-F common engineering framework; project death-penalty handling is not claimed to equal the original GWO Section-5 constraint protocol."
GWO,6,Optical buffer design (BSPCW),INTENTIONALLY_OUT_OF_SCOPE,No BSPCW/NDBP/photonic-band evaluator implemented. Explicitly excluded from project scope and not a remaining implementation task.
SCHO,3.1,Classical benchmark program,COMPLETE_WITH_EXACTNESS_BOUNDARIES,"F1-F23 core, ablation/qualitative work, full 9-algorithm classical comparison, and full high-dimensional 9-algorithm scalability comparison are covered across H4-H6."
SCHO,3.1.1,Ablation / subordinate-model analysis,COMPLETE_CONTROLLED_REPRODUCTION__STRONG_RANK_LEVEL_AGREEMENT,Table 5 complete; final-rank agreement 5/6. Five variants remain paper-described controlled structural interpretations because separate author variant source files were not recovered.
SCHO,3.1.2,Qualitative analysis,COMPLETE_WITH_CONTROLLED_INTERPRETATION_BOUNDARY,Fig.8 controlled-equivalent; Fig.7 controlled reproduction complete with partial bar-level agreement. Eleven variants are controlled interpretations rather than recovered author-source implementations.
SCHO,3.1.3,Comparison with 8 other algorithms,COMPLETE__PARTIAL_NUMERICAL_AGREEMENT,"Full 9-algorithm F1-F23 experiment complete: 6210 raw rows, Table 7, Table 8, controlled-equivalent Fig.9. SCHO final rank 1 preserved; W/L/T agreement partial; no tuning."
SCHO,3.1.4,Scalability analysis D=100 and D=500,COMPLETE__PARTIAL_NUMERICAL_AGREEMENT,"Full 9-algorithm experiment complete: 7020 raw rows, Tables 9-12, Friedman and Wilcoxon. SCHO rank 1 and RSA rank 2 preserved at both dimensions; AOA dominant mismatch; no tuning."
SCHO,3.2,CEC2014 D=10,CORE_DONE__PARTIAL_NUMERICAL_AGREEMENT__FULL_9_ALG_COMPARISON_NOT_RERUN,GWO+SCHO F1-F30 x30 complete. GWO paper-scale agreement strong; SCHO has several material mismatches. Full 9-algorithm Friedman/Wilcoxon comparison not independently rerun.
SCHO,3.3,Six engineering design problems,CORE_DONE__PROJECT_CONTROLLED_PROTOCOL,All six problems implemented/validated; 360/360 Stage-F runs completed. Uses explicit death penalty 1e30 and separate feasibility reporting; other published comparison algorithms were not fully rerun.
