group,required,path,exists,size_bytes,sha256
classic_gwo,True,results/processed/gwo_classic23_results.csv,True,3636,36f7847d5230cc350135afe57d6a422863fb3cb3618df9e33aaba23f3ae66b8b
classic_gwo,True,results/processed/gwo_stageB_summary.csv,True,3879,403b773c4ed0f5aaad262e52e46d9ce54dbee073224a0c04990b6672ae17975c
classic_gwo,True,report/notes/gwo_stageB_report.md,True,3126,03442df7a4a783738750356ffc199875b78117e3cc99e5dd97dddb00c3f10aba
classic_scho,True,results/processed/scho_classic23_summary.csv,True,2539,6a4e58728b300d5e64b2f1e5d7d601ef26809be235bdc8ca415970b80d4db8dd
classic_scho,True,report/notes/C13_SCHO_vs_Paper_Table7_report.md,True,3344,ba2e9c7c3861b3c2258f61d278386b37a5b53a63aa11652fbbacd18e1ae5ac00
classic_comparison,True,results/processed/D2_GWO_vs_SCHO_classic23.csv,True,5210,b561e365273f16f6407bc90d684ba51e4a1e2056e67f97ef26b71b2691303998
classic_comparison,True,report/notes/D2_GWO_vs_SCHO_report.md,True,3160,e9e73c8db51e396853fb4207ac9b468c2484b76e986a2e5b556e66e7cab6e68a
classic_comparison,True,report/notes/D3_StageD_final_report.md,True,3322,9c2b1bd4e31300c194d1929265c83c2ba56f2f13d7fbb409d21f821efa8d3a67
cec2014,True,results/raw/cec2014_e4_runs.csv,True,220955,cd3e8e82599bbf78ae82c23b50cd6bc3e086332e29e32b2aa2dd0c1a19223b9b
cec2014,True,results/processed/cec2014_e4_summary.csv,True,11136,f556337450f68efa55d871afc24ba03d8398c7151c52cd1fd27f72488b0eae74
engineering,True,results/raw/engineering_f4_runs.csv,True,100440,4d478832be1c0b470cacd44dc0049c4868909d6318bc8962e3651ccf8a778c27
engineering,True,results/processed/engineering_f4_summary.csv,True,3442,8affc46b0cb0a629e2446bc38daa5ebbd850e33a8369d5a77d2d1ee87ab0e8a0
engineering,True,results/processed/engineering_f5_paper_comparison.csv,True,4164,bdb19df83a9a895a4ab727e3901741d01cc77e66c0d6c83c1749a97bbb8adb7a
engineering,True,results/processed/engineering_f5_seed_diagnostics.csv,True,1450,00335ad358b2ec382bc4c2a35035d627b8c54671f7913c1d311b0658e9d742a4
engineering,True,report/stage_f_engineering_final.md,True,8129,d5418cbf606957f5c832bbe3e4fbab76b2e5fd9cf80399511202ddf7355dd374
engineering,True,report/stage_f_manifest.csv,True,1899,608414d37ea178fb759c72c3d64b1b930d8ae64cf51d63cf15788983f9357872
optional,False,report/notes/F0_engineering_protocol_audit.md,True,11632,139d5e5c46025340afbd33384d2834aa4ba4e2204f6e060abf286a506214f029
optional,False,report/engineering_f5_analysis.md,True,5850,9d9205c068d1c0e4f3edf2b8791cc6e7e4ab65a9266b4e904b44566014188029
optional,False,report/figures/D3_mean_error_to_optimum.png,True,250876,bd7db9b4b06a7f763c424327cc454ae3bad70f9b69394af4d6e6c222eee4277c
optional,False,report/figures/D3_mean_wins_by_family.png,True,61484,89141eb64603683a5949d1a5339c42e0e7baad1a7d8afe3c73d34b7375b527d1
optional,False,report/figures/D3_std_comparison.png,True,251043,c0e81df15512528de03f32a2be8359e706ab1a6ae9b9856a9261c7b816ced7fa
